MTH-YEAR,INCOME (SGD),TOTAL EXPENSES (SGD),SAVINGS (SGD)
Nov-2022,"$14,497.00","$16,486.00",$0.00
Dec-2022,"$20,109.00","$17,542.00",$0.00
Jan-2023,"$17,197.00","$15,937.00","$2,800.00"
Feb-2023,"$15,197.00","$9,807.00","$3,000.00"
Mar-2023,"$22,193.00","$16,815.00","$3,500.00"
Apr-2023,"$15,197.00","$12,808.00","$2,026.00"
May-2023,"$25,337.00","$11,505.00","$10,000.00"
Jun-2023,"$20,301.00","$16,437.00","$6,000.00"
Jul-2023,"$12,600.00","$12,140.00",$0.00
Aug-2023,"$12,600.00","$32,135.00","-$16,000.00"
Sep-2023,"$13,100.00","$12,656.00",$0.00
Oct-2023,"$15,500.00","$16,233.00",$0.00
Nov-2023,"$16,700.00","$11,835.00","$1,500.00"
Dec-2023,"$18,500.00","$13,387.00","$7,000.00"
Jan-2024,"$16,874.19","$9,524.00","$6,000.00"
Feb-2024,"$12,700.00","$10,689.00",$0.00
Mar-2024,"$12,700.00","$18,350.00","-$1,750.00"
Apr-2024,"$15,500.00","$20,686.00",$0.00
May-2024,"$15,500.00","$14,151.00",$0.00
Jun-2024,"$29,946.00","$14,736.00","$8,000.00"
Jul-2024,"$15,500.00","$11,795.00","$17,000.00"
Aug-2024,"$22,434.00","$20,039.00",$0.00
Sep-2024,"$15,500.00","$11,774.00",$0.00
Oct-2024,"$17,282.00","$16,633.00",$0.00
Nov-2024,"$14,000.00","$17,251.00",$0.00
Dec-2024,"$25,400.00","$20,236.00",$0.00
Jan-2025,"$25,207.00","$11,688.00",$0.00
Feb-2025,"$32,500.00","$35,567.00",$0.00
Mar-2025,"$18,500.00","$18,019.00",$0.00
Apr-2025,"$18,500.00","$17,069.00",$0.00
May-2025,"$20,804.00","$17,233.00",$0.00
Jun-2025,"$19,787.00","$14,305.00","$6,000.00"
Jul-2025,"$18,500.00","$13,500.00","$5,000.00"
Aug-2025,,,
Sep-2025,,,
Oct-2025,,,
Nov-2025,,,
Dec-2025,,,
