MTH-YEAR,INCOME (SGD),TOTAL EXPENSES (SGD),SAVINGS (SGD),NETWORTH (SGD)
Jan-2022,"$13,697.00","$12,283.00","-$5,000.00","$544,039.68"
Feb-2022,"$14,197.00","$20,697.00",$0.00,"$323,256.36"
Mar-2022,"$19,674.90","$14,818.00","$7,000.00","$323,256.36"
Apr-2022,"$14,197.00","$14,493.00",$0.00,"$369,302.43"
May-2022,"$27,197.00","$13,889.00",$0.00,"$226,471.00"
Jun-2022,"$19,369.76","$15,724.00","$5,000.00","$226,471.00"
Jul-2022,"$14,197.00","$11,781.00",$0.00,"$261,338.99"
Aug-2022,"$14,197.00","$15,105.00","$4,000.00","$311,947.19"
Sep-2022,"$18,544.00","$9,892.00","$10,000.00","$313,597.39"
Oct-2022,"$14,447.00","$9,500.00","$5,000.00","$313,597.39"
Nov-2022,"$14,497.00","$16,486.00",$0.00,"$275,658.98"
Dec-2022,"$20,109.00","$17,542.00",$0.00,"$269,695.40"
Jan-2023,"$17,197.00","$15,937.00","$2,800.00","$308,567.72"
Feb-2023,"$15,197.00","$9,807.00","$3,000.00","$308,567.72"
Mar-2023,"$22,193.00","$16,815.00","$3,500.00","$312,517.35"
Apr-2023,"$15,197.00","$12,808.00","$2,026.00","$331,444.42"
May-2023,"$25,337.00","$11,505.00","$10,000.00","$334,663.26"
Jun-2023,"$20,301.00","$16,437.00","$6,000.00","$350,163.51"
Jul-2023,"$12,600.00","$12,140.00",$0.00,"$369,579.31"
Aug-2023,"$12,600.00","$32,135.00","-$16,000.00","$351,301.50"
Sep-2023,"$13,100.00","$12,656.00",$0.00,"$341,150.99"
Oct-2023,"$15,500.00","$16,233.00",$0.00,"$340,897.19"
Nov-2023,"$16,700.00","$11,835.00","$1,500.00","$365,724.31"
Dec-2023,"$18,500.00","$13,387.00","$7,000.00","$392,083.67"
Jan-2024,"$16,874.19","$9,524.00","$6,000.00","$385,527.88"
Feb-2024,"$12,700.00","$10,689.00",$0.00,"$411,168.60"
Mar-2024,"$12,700.00","$18,350.00","-$1,750.00","$472,989.11"
Apr-2024,"$15,500.00","$20,686.00",$0.00,"$482,969.50"
May-2024,"$15,500.00","$14,151.00",$0.00,"$445,263.59"
Jun-2024,"$29,946.00","$14,736.00","$8,000.00","$472,682.89"
Jul-2024,"$15,500.00","$11,795.00","$17,000.00","$496,741.66"
Aug-2024,"$22,434.00","$20,039.00",$0.00,"$482,949.13"
Sep-2024,"$15,500.00","$11,774.00",$0.00,"$493,966.40"
Oct-2024,"$17,282.00","$16,633.00",$0.00,"$493,966.40"
Nov-2024,"$14,000.00","$17,251.00",$0.00,"$493,966.40"
Dec-2024,"$25,400.00","$20,236.00",$0.00,"$522,556.12"
Jan-2025,"$25,207.00","$11,688.00",$0.00,"$522,556.12"
Feb-2025,"$32,500.00","$35,567.00",$0.00,"$522,556.12"
